一	 yi_1
脖	 bo_2
脚	 jiao_3
脚下	 jiao_3 xia_4
脚踏车	 jiao_3 ta_4 che_1
脚部	 jiao_3 bu_4
脱口秀	 tuo_1 kou_3 xiu_4
脸	 lian_3
脸谱	 lian_3 pu_3
脸部	 lian_3 bu_4
腊八	 la_4 ba_1
腊八粥	 la_4 ba_1 zhou_1
腊八节	 la_4 ba_1 jie_2
腊味	 la_4 wei_4
腊月	 la_4 yue_4
腊肉	 la_4 rou_4
腊肠	 la_4 chang_2
腰花	 yao_1 hua_1
腱	 jian_4
腻	 ni_4
腾	 teng_2
腾冲	 teng_2 chong_1
腾格尔	 teng_2 ge_2 er_3
腾讯	 teng_2 xun_4
腾越	 teng_2 yue_4
腾飞	 teng_2 fei_1
腾龙	 teng_2 long_2
膳	 shan_4
膳房	 shan_4 fang_2
臊子	 sao_4 zi_3
臣	 chen_2
臧天朔	 zang_1 tian_1 shuo_4
自	 zi_4
自主	 zi_4 zhu_3
自传	 zi_4 zhuan_4
自力	 zi_4 li_4
自动	 zi_4 dong_4
自动化	 zi_4 dong_4 hua_4
自动播放	 zi_4 dong_4 bo_1 fang_4
自助	 zi_4 zhu_4
自助餐	 zi_4 zhu_4 can_1
自助餐厅	 zi_4 zhu_4 can_1 ting_1
自己	 zi_4 ji_3
自强	 zi_4 qiang_2
自我	 zi_4 wo_3
自杀	 zi_4 sha_1
自然	 zi_4 ran_2
自然保护区	 zi_4 ran_2 bao_3 hu_4 qu_1
自由	 zi_4 you_2
自由自在	 zi_4 you_2 zi_4 zai_4
自行	 zi_4 xing_2
自行车	 zi_4 xing_2 che_1
自贡	 zi_4 gong_4
自贸区	 zi_4 mao_4 qu_1
自转	 zi_4 zhuan_4
自选	 zi_4 xuan_3
自驾	 zi_4 jia_4
自驾游	 zi_4 jia_4 you_2
自驾车	 zi_4 jia_4 che_1
臭氧层	 chou_4 yang_3 ceng_2
臭臭	 chou_4 chou_4
臭豆腐	 chou_4 dou_4 fu_3
至	 zhi_4
至上	 zhi_4 shang_4
至尊	 zhi_4 zun_1
至少	 zhi_4 shao_3
至爱	 zhi_4 ai_4
致	 zhi_4
致电	 zhi_4 dian_4
致远	 zhi_4 yuan_3
臻	 zhen_1
舍	 she_3
舍不得	 she_3 bu_4 de_2
舍得	 she_4 de_0
舒	 shu_1
舒伯特	 shu_1 bo_2 te_4
舒城县	 shu_1 cheng_2 xian_4
舒服	 shu_1 fu_2
舒淇	 shu_1 qi_2
舒缓	 shu_1 huan_3
舒适	 shu_1 shi_4
舒适型	 shu_1 shi_4 xing_2
舜	 shun_4
舞	 wu_3
舞剧	 wu_3 ju_4
舞台	 wu_3 tai_2
舞台剧	 wu_3 tai_2 ju_4
舞曲	 wu_3 qu_3
舞者	 wu_3 zhe_3
舟	 zhou_1
舟山	 zhou_1 shan_1
舟山市	 zhou_1 shan_1 shi_4
航	 hang_2
航天桥	 hang_2 tian_1 qiao_2
航材	 hang_2 cai_2
航海	 hang_2 hai_3
航渡	 hang_2 du_4
航班	 hang_2 ban_1
航班信息	 hang_2 ban_1 xin_4 xi_1
航班号	 hang_2 ban_1 hao_4
航空	 hang_2 kong_1
航空公司	 hang_2 kong_1 gong_1 si_1
航空母舰	 hang_2 kong_1 mu_3 jian_4
航站楼	 hang_2 zhan_4 lou_2
航线	 hang_2 xian_4
航行	 hang_2 xing_2
航路	 hang_2 lu_4
舫	 fang_3
舱	 cang_1
舵手	 duo_4 shou_3
舸	 ge_3
船	 chuan_2
船厂	 chuan_2 chang_3
船歌	 chuan_2 ge_1
艮	 gen_3
良	 liang_2
良乡	 liang_2 xiang_1
良友	 liang_2 you_3
良辰	 liang_2 chen_2
色	 se_4
色拉	 se_4 la_1
艳	 yan_4
艳阳	 yan_4 yang_2
艳阳天	 yan_4 yang_2 tian_1
艺	 yi_4
艺人	 yi_4 ren_2
艺术	 yi_4 shu_4
艺术剧院	 yi_4 shu_4 ju_4 yuan_4
艺术团	 yi_4 shu_4 tuan_2
艺苑	 yi_4 yuan_4
艺都	 yi_4 dou_1
艾	 ai_4
艾伦	 ai_4 lun_2
艾森克	 ai_4 sen_1 ke_4
节	 jie_2
节假日	 jie_2 jia_4 ri_4
节奏	 jie_2 zou_4
节操	 jie_2 cao_1
节日	 jie_2 ri_4
节气	 jie_2 qi_4
节目	 jie_2 mu_4
芈	 mi_3
芊芊	 qian_1 qian_1
芋	 yu_4
芍药居	 shao_2 yao_4 ju_1
芒	 mang_2
芒市	 mang_2 shi_4
芒果	 mang_2 guo_3
芙	 fu_2
芙蓉	 fu_2 rong_2
芙蓉区	 fu_2 rong_2 qu_1
芙蓉楼	 fu_2 rong_2 lou_2
芙蓉路	 fu_2 rong_2 lu_4
芜	 wu_2
芜湖	 wu_2 hu_2
芜湖市	 wu_2 hu_2 shi_4
芜湖路	 wu_2 hu_2 lu_4
芝	 zhi_1
芝罘区	 zhi_1 fu_2 qu_1
芝麻	 zhi_1 ma_2
芝麻开门	 zhi_1 ma_2 kai_1 men_2
芦	 lu_2
芦席	 lu_2 xi_2
芦洲	 lu_2 zhou_1
芦淞区	 lu_2 song_1 qu_1
芦溪县	 lu_2 xi_1 xian_4
芦潮港	 lu_2 chao_2 gang_3
芬	 fen_1
芬兰	 fen_1 lan_2
芬芳	 fen_1 fang_1
芭	 ba_1
芭蕾舞	 ba_1 lei_3 wu_3
芮	 rui_4
花	 hua_1
花乡	 hua_1 xiang_1
花儿	 hua_1 er_2
花儿乐队	 hua_1 er_2 yue_4 dui_4
花卉市场	 hua_1 hui_4 shi_4 chang_3
花博园	 hua_1 bo_2 yuan_2
花名	 hua_1 ming_2
花园	 hua_1 yuan_2
花园城	 hua_1 yuan_2 cheng_2
花园街	 hua_1 yuan_2 jie_1
花园路	 hua_1 yuan_2 lu_4
花园酒店	 hua_1 yuan_2 jiu_3 dian_4
花园里	 hua_1 yuan_2 li_3
花垣	 hua_1 yuan_2
花垣县	 hua_1 yuan_2 xian_4
花城	 hua_1 cheng_2
花好园	 hua_1 hao_3 yuan_2
花家地	 hua_1 jia_1 de_0
花工	 hua_1 gong_1
花市	 hua_1 shi_4
花心	 hua_1 xin_1
花房	 hua_1 fang_2
花旗	 hua_1 qi_2
花旗集团	 hua_1 qi_2 ji_2 tuan_2
花旦	 hua_1 dan_4
花木	 hua_1 mu_4
花果	 hua_1 guo_3
花果山	 hua_1 guo_3 shan_1
花梨	 hua_1 li_2
花椒	 hua_1 jiao_1
花溪	 hua_1 xi_1
花环	 hua_1 huan_2
花瓣	 hua_1 ban_4
花艺	 hua_1 yi_4
花花世界	 hua_1 hua_1 shi_4 jie_4
花莲	 hua_1 lian_2
花菜	 hua_1 cai_4
花街	 hua_1 jie_1
花轿	 hua_1 jiao_4
花边	 hua_1 bian_1
花都	 hua_1 dou_1
花都区	 hua_1 dou_1 qu_1
花钱	 hua_1 qian_2
花香	 hua_1 xiang_1
花鸟	 hua_1 niao_3
花鸟画	 hua_1 niao_3 hua_4
芳	 fang_1
芳华	 fang_1 hua_2
芳村	 fang_1 cun_1
芳草	 fang_1 cao_3
芳草地	 fang_1 cao_3 di_4
芷	 zhi_3
芷江	 zhi_3 jiang_1
芸	 yun_2
苇	 wei_3
苇子	 wei_3 zi_0
苍	 cang_1
苍南	 cang_1 nan_2
苎	 zhu_4
苏	 su_1
苏丹	 su_1 dan_1
苏北	 su_1 bei_3
苏宁	 su_1 ning_2
苏州	 su_1 zhou_1
苏州市	 su_1 zhou_1 shi_4
苏州河	 su_1 zhou_1 he_2
苏州街	 su_1 zhou_1 jie_1
苏州高新区	 su_1 zhou_1 gao_1 xin_1 qu_1
苏式	 su_1 shi_4
苏打	 su_1 da_2
苏晋	 su_1 jin_4
苏有朋	 su_1 you_3 peng_2
苏果	 su_1 guo_3
苏格兰	 su_1 ge_2 lan_2
苏泊尔	 su_1 po_1 er_3
苏浙	 su_1 zhe_4
苏联	 su_1 lian_2
苑	 yuan_4
苗	 miao_2
苗圃	 miao_2 pu_3
苗族	 miao_2 zu_2
苜蓿	 mu_4 xu_0
苟	 gou_3
若	 ruo_4
苦	 ku_3
苦瓜	 ku_3 gua_1
苦行僧	 ku_3 xing_2 seng_1
英	 ying_1
英之杰	 ying_1 zhi_1 jie_2
英伦	 ying_1 lun_2
英国	 ying_1 guo_2
英子	 ying_1 zi_0
英文	 ying_1 wen_2
英文歌	 ying_1 wen_2 ge_1
英文歌曲	 ying_1 wen_2 ge_1 qu_3
英文版	 ying_1 wen_2 ban_3
英武	 ying_1 wu_3
英特	 ying_1 te_4
英语	 ying_1 yu_3
英语歌	 ying_1 yu_3 ge_1
英雄	 ying_1 xiong_2
英雄传	 ying_1 xiong_2 chuan_2
英雄本色	 ying_1 xiong_2 ben_3 se_4
苹果	 ping_2 guo_3
苹果园	 ping_2 guo_3 yuan_2
茂	 mao_4
茂名	 mao_4 ming_2
茂名市	 mao_4 ming_2 shi_4
茂林	 mao_4 lin_2
范	 fan_4
范冰冰	 fan_4 bing_1 bing_1
范围	 fan_4 wei_2
范玮琪	 fan_4 wei_3 qi_2
范蠡	 fan_4 li_3
茅台	 mao_2 tai_2
茆	 mao_2
茉莉花	 mo_4 li_4 hua_1
茌平	 chi_2 ping_2
茗	 ming_2
茜	 qian_4
茯	 fu_2
茱丽叶	 zhu_1 li_4 ye_4
茵	 yin_1
茶	 cha_2
茶堂	 cha_2 tang_2
茶室	 cha_2 shi_4
茶庄	 cha_2 zhuang_1
茶楼	 cha_2 lou_2
茶阳	 cha_2 yang_2
茶陵	 cha_2 ling_2
茶陵县	 cha_2 ling_2 xian_4
茶餐厅	 cha_2 can_1 ting_1
茶饭	 cha_2 fan_4
茶馆	 cha_2 guan_3
茸	 rong_1
茹	 ru_2
荃	 quan_2
荆	 jing_1
荆川	 jing_1 chuan_1
荆州	 jing_1 zhou_1
荆州市	 jing_1 zhou_1 shi_4
荆门	 jing_1 men_2
荆门市	 jing_1 men_2 shi_4
草	 cao_3
草原	 cao_3 yuan_2
草场	 cao_3 chang_3
草坪	 cao_3 ping_2
草堂	 cao_3 tang_2
草堆	 cao_3 dui_1
草房	 cao_3 fang_2
草桥	 cao_3 qiao_2
草滩	 cao_3 tan_1
草皮	 cao_3 pi_2
草莓	 cao_3 mei_2
草铺	 cao_3 pu_4
荐	 jian_4
荒漠	 huang_1 mo_4
荒野	 huang_1 ye_3
荔	 li_4
荔枝	 li_4 zhi_1
荔波	 li_4 bo_1
荔湾区	 li_4 wan_1 qu_1
荟	 hui_4
荡	 dang_4
荡起	 dang_4 qi_3
荣	 rong_2
荣光	 rong_2 guang_1
荣华	 rong_2 hua_2
荣成	 rong_2 cheng_2
荣成市	 rong_2 cheng_2 shi_4
荣昌	 rong_2 chang_1
荣耀	 rong_2 yao_4
荫	 yin_1
药	 yao_4
药业	 yao_4 ye_4
药品	 yao_4 pin_3
药师	 yao_4 shi_1
药店	 yao_4 dian_4
药房	 yao_4 fang_2
药材	 yao_4 cai_2
药用	 yao_4 yong_4
药膳	 yao_4 shan_4
药行	 yao_4 xing_2
荷	 he_2
荷兰	 he_2 lan_2
荷兰银行	 he_2 lan_2 yin_2 hang_2
荷塘	 he_2 tang_2
荷塘月色	 he_2 tang_2 yue_4 se_4
荷花	 he_2 hua_1
荷花池	 he_2 hua_1 chi_2
荷里活	 he_2 li_3 huo_2
莆	 pu_2
莆田	 pu_2 tian_2
莉	 li_4
莎	 sha_1
莎拉	 sha_1 la_1
莒南	 ju_3 nan_2
莘	 shen_1
莞	 guan_3
莫	 mo_4
莫名其妙	 mo_4 ming_2 qi_2 miao_4
莫干山	 mo_4 gan_4 shan_1
莫扎特	 mo_4 zha_1 te_4
莫拉	 mo_4 la_1
莫文蔚	 mo_4 wen_2 wei_4
莫斯科	 mo_4 si_1 ke_1
莫言	 mo_4 yan_2
莱	 lai_2
莱亚	 lai_2 ya_4
莱佛士	 lai_2 fu_2 shi_4
莱克	 lai_2 ke_4
莱克斯	 lai_2 ke_4 si_1
莱山	 lai_2 shan_1
莱州市	 lai_2 zhou_1 shi_4
莱斯	 lai_2 si_1
莱纳	 lai_2 na_4
莱芜	 lai_2 wu_2
莱芜市	 lai_2 wu_2 shi_4
莱蒙	 lai_2 meng_2
莱西	 lai_2 xi_1
莱阳	 lai_2 yang_2
莱阳市	 lai_2 yang_2 shi_4
莲	 lian_2
莲塘	 lian_2 tang_2
莲湖	 lian_2 hu_2
莲湖区	 lian_2 hu_2 qu_1
莲花	 lian_2 hua_1
莲花山	 lian_2 hua_1 shan_1
莲花路	 lian_2 hua_1 lu_4
获取	 huo_4 qu_3
获奖	 huo_4 jiang_3
莹	 ying_2
菀	 wan_3
菇	 gu_1
菊	 ju_2
菊园	 ju_2 yuan_2
菊花	 ju_2 hua_1
菏泽	 he_2 ze_2
菖蒲	 chang_1 pu_2
菜	 cai_4
菜单	 cai_4 dan_1
菜园	 cai_4 yuan_2
菜园子	 cai_4 yuan_2 zi_0
菜场	 cai_4 chang_3
菜市	 cai_4 shi_4
菜市口	 cai_4 shi_4 kou_3
菜市场	 cai_4 shi_4 chang_3
菜苔	 cai_4 tai_2
菜菜	 cai_4 cai_4
菜谱	 cai_4 pu_3
菜馆	 cai_4 guan_3
菠菜	 bo_1 cai_4
菠萝	 bo_1 luo_2
菩提	 pu_2 ti_2
菱	 ling_2
菱角	 ling_2 jiao_3
菲	 fei_1
菲尔德	 fei_1 er_3 de_2
菲斯	 fei_1 si_1
菲特	 fei_1 te_4
萃	 cui_4
萌	 meng_2
萍	 ping_2
萍乡	 ping_2 xiang_1
萝	 luo_2
萝北县	 luo_2 bei_3 xian_4
萝卜	 luo_2 bo_0
萤火虫	 ying_2 huo_3 chong_2
营	 ying_2
营业	 ying_2 ye_4
营业厅	 ying_2 ye_4 ting_1
营业时间	 ying_2 ye_4 shi_2 jian_1
营业点	 ying_2 ye_4 dian_3
营业网点	 ying_2 ye_4 wang_3 dian_3
营业部	 ying_2 ye_4 bu_4
营口	 ying_2 kou_3
营销中心	 ying_2 xiao_1 zhong_1 xin_1
营门口	 ying_2 men_2 kou_3
萧	 xiao_1
萧何月	 xiao_1 he_2 yue_4
萧山	 xiao_1 shan_1
萨	 sa_4
萩	 qiu_1
萱	 xuan_1
落	 luo_4
落俗	 luo_4 su_2
落地钟	 luo_4 di_4 zhong_1
落花	 luo_4 hua_1
葆	 bao_3
葛	 ge_2
葡萄园	 pu_2 tao_2 yuan_2
董	 dong_3
董家	 dong_3 jia_1
董文华	 dong_3 wen_2 hua_2
葫芦	 hu_2 lu_0
葫芦丝	 hu_2 lu_0 si_1
葫芦兄弟	 hu_2 lu_0 xiong_1 di_4
葫芦娃	 hu_2 lu_0 wa_2
葫芦岛	 hu_2 lu_0 dao_3
葭	 jia_1
葱	 cong_1
葵	 kui_2
蒂姆	 di_4 mu_3
蒋	 jiang_3
蒋大为	 jiang_3 da_4 wei_4
蒙	 meng_2
蒙古	 meng_2 gu_3
蒙古人	 meng_2 gu_3 ren_2
蒙古高原	 meng_2 gu_3 gao_1 yuan_2
蒙城	 meng_2 cheng_2
蒙自	 meng_2 zi_4
蒙蒙	 meng_2 meng_2
蒙面	 meng_2 mian_4
蒜	 suan_4
蒜薹	 suan_4 tai_2
蒲	 pu_2
蒲城	 pu_2 cheng_2
蒲州	 pu_2 zhou_1
蒲黄榆	 pu_2 huang_2 yu_2
蒸	 zheng_1
蒸湘区	 zheng_1 xiang_1 qu_1
蓉	 rong_2
蓉园	 rong_2 yuan_2
蓉城	 rong_2 cheng_2
蓉蓉	 rong_2 rong_2
蓓	 bei_4
蓝	 lan_2
蓝天	 lan_2 tian_1
蓝山	 lan_2 shan_1
蓝海	 lan_2 hai_3
蓝牙	 lan_2 ya_2
蓝田	 lan_2 tian_2
蓝筹	 lan_2 chou_2
蓝色	 lan_2 se_4
蓝莲花	 lan_2 lian_2 hua_1
蓝调	 lan_2 diao_4
蓝靛	 lan_2 dian_4
蓝鲸	 lan_2 jing_1
蓟	 ji_4
蓟县	 ji_4 xian_4
蓬	 peng_2
蓬江区	 peng_2 jiang_1 qu_1
蓬溪县	 peng_2 xi_1 xian_4
蓬莱	 peng_2 lai_2
蔚	 wei_4
蔚山	 wei_4 shan_1
蔚蓝	 wei_4 lan_2
蔚蓝海岸	 wei_4 lan_2 hai_3 an_4
蔡	 cai_4
蔡依林	 cai_4 yi_1 lin_2
蔡健雅	 cai_4 jian_4 ya_3
蔡甸区	 cai_4 dian_1 qu_1
蔬	 shu_1
蔬菜	 shu_1 cai_4
蔬菜基地	 shu_1 cai_4 ji_1 di_4
蔬菜水果	 shu_1 cai_4 shui_3 guo_3
蔷薇	 qiang_2 wei_1
蕉叶	 jiao_1 ye_4
蕉城区	 jiao_1 cheng_2 qu_1
蕊	 rui_3
蕙	 hui_4
蕰	 wen_1
蕴	 yun_4
蕾	 lei_3
薄	 bao_2
薄利	 bo_2 li_4
薇	 wei_1
薛	 xue_1
薛城	 xue_1 cheng_2
薯	 shu_3
薯条	 shu_3 tiao_2
薰	 xun_1
藁城	 gao_3 cheng_2
藏	 cang_2
藏族	 zang_4 zu_2
藏有	 cang_2 you_3
藏獒	 zang_4 ao_2
藤	 teng_2
虎	 hu_3
虎丘	 hu_3 qiu_1
虎丘区	 hu_3 qiu_1 qu_1
虎坊桥	 hu_3 fang_1 qiao_2
虎山	 hu_3 shan_1
虎山行	 hu_3 shan_1 xing_2
虎牙	 hu_3 ya_2
虎跑	 hu_3 pao_2
虎门	 hu_3 men_2
虎门镇	 hu_3 men_2 zhen_4
虐	 nve_4
虚拟	 xu_1 ni_3
虞	 yu_2
虞城	 yu_2 cheng_2
虫	 chong_2
虫儿	 chong_2 er_2
虹	 hong_2
虹口	 hong_2 kou_3
虹口区	 hong_2 kou_3 qu_1
虹口足球场	 hong_2 kou_3 zu_2 qiu_2 chang_3
虹桥	 hong_2 qiao_2
虹桥店	 hong_2 qiao_2 dian_4
虹桥机场	 hong_2 qiao_2 ji_1 chang_3
虹桥路	 hong_2 qiao_2 lu_4
虹桥镇	 hong_2 qiao_2 zhen_4
虹梅路	 hong_2 mei_2 lu_4
虾	 xia_1
虾仁	 xia_1 ren_2
蚂蚁	 ma_3 yi_3
蚌埠	 beng_4 bu_4
蚌埠市	 beng_4 bu_4 shi_4
蚝	 hao_2
蛇	 she_2
蛇口	 she_2 kou_3
蛇口港	 she_2 kou_3 gang_3
蛋	 dan_4
蛋卷	 dan_4 juan_3
蛋清	 dan_4 qing_1
蛋糕	 dan_4 gao_1
蛋糕店	 dan_4 gao_1 dian_4
蛋花	 dan_4 hua_1
蛙	 wa_1
蛟河	 jiao_1 he_2
蛤	 ha_2
蛮	 man_2
蜀	 shu_3
蜀地	 shu_3 de_0
蜀山区	 shu_3 shan_1 qu_1
蜀汉	 shu_3 han_4
蜂	 feng_1
蜂巢	 feng_1 chao_2
蜗	 wo_1
蜗居	 wo_1 ju_1
蜗牛	 wo_1 niu_2
蜘蛛侠	 zhi_1 zhu_1 xia_2
蜜	 mi_4
蜜汁	 mi_4 zhi_1
蜜蜂	 mi_4 feng_1
蜜雪儿	 mi_4 xue_3 er_2
蜡笔小新	 la_4 bi_3 xiao_3 xin_1
蝴蝶	 hu_2 die_2
蝴蝶花	 hu_2 die_2 hua_1
蝶	 die_2
螃蟹	 pang_2 xie_4
融	 rong_2
融通	 rong_2 tong_1
螺丝	 luo_2 si_1
螺号	 luo_2 hao_4
螺蛳	 luo_2 si_1
蟹	 xie_4
蟹黄	 xie_4 huang_2
蠡	 li_2
蠡县	 li_3 xian_4
血	 xue_4
行	 xing_2
行不行	 xing_2 bu_4 xing_2
行业	 hang_2 ye_4
行业协会	 hang_2 ye_4 xie_2 hui_4
行健	 xing_2 jian_4
行僧	 xing_2 seng_1
行动	 xing_2 dong_4
行宫	 xing_2 gong_1
行政	 xing_2 zheng_4
行李	 xing_2 li_3
行知	 xing_2 zhi_1
行社	 xing_2 she_4
行程	 xing_2 cheng_2
行者	 xing_2 zhe_3
行路	 xing_2 lu_4
行车	 xing_2 che_1
行院	 xing_2 yuan_4
行驶	 xing_2 shi_3
街	 jie_1
街上	 jie_1 shang_4
街区	 jie_1 qu_1
街坊	 jie_1 fang_1
街子	 jie_1 zi_0
街道	 jie_1 dao_4
街道口	 jie_1 dao_4 kou_3
街道社区	 jie_1 dao_4 she_4 qu_1
衙	 ya_2
衡	 heng_2
衡南县	 heng_2 nan_2 xian_4
衡山	 heng_2 shan_1
衡山路	 heng_2 shan_1 lu_4
衡水	 heng_2 shui_3
衡阳	 heng_2 yang_2
衡阳市	 heng_2 yang_2 shi_4
衢	 qu_2
衢州	 qu_2 zhou_1
衢州市	 qu_2 zhou_1 shi_4
衣	 yi_1
衣服	 yi_1 fu_2
补全	 bu_3 quan_2
补胎	 bu_3 tai_1
补鞋	 bu_3 xie_2
表演	 biao_3 yan_3
表记	 biao_3 ji_4
表里	 biao_3 li_3
表面	 biao_3 mian_4
衬衣	 chen_4 yi_1
衬衫	 chen_4 shan_1
衰老	 shuai_1 lao_3
袁	 yuan_2
袁惟仁	 yuan_2 wei_2 ren_2
袋	 dai_4
袜子	 wa_4 zi_0
被	 bei_4
裂	 lie_4
装	 zhuang_1
装备	 zhuang_1 bei_4
装置	 zhuang_1 zhi_4
装饰	 zhuang_1 shi_4
裕	 yu_4
裕兴	 yu_4 xing_4
裕华	 yu_4 hua_2
裕隆	 yu_4 long_2
裘	 qiu_2
裙	 qun_2
裙子	 qun_2 zi_0
裤	 ku_4
裤子	 ku_4 zi_0
褚	 chu_3
褡裢	 da_1 lian_2
襄	 xiang_1
襄樊	 xiang_1 fan_2
襄樊市	 xiang_1 fan_2 shi_4
襄阳	 xiang_1 yang_2
西	 xi_1
西一路	 xi_1 yi_1 lu_4
西三旗	 xi_1 san_1 qi_2
西三环	 xi_1 san_1 huan_2
西东	 xi_1 dong_1
西九龙	 xi_1 jiu_3 long_2
西乡	 xi_1 xiang_1
西乡县	 xi_1 xiang_1 xian_4
西乡镇	 xi_1 xiang_1 zhen_4
西二旗	 xi_1 er_4 qi_2
西二环	 xi_1 er_4 huan_2
西什库	 xi_1 shen_2 ku_4
西伯利亚	 xi_1 bo_2 li_4 ya_4
西侧	 xi_1 ce_4
西元前	 xi_1 yuan_2 qian_2
西充县	 xi_1 chong_1 xian_4
西关	 xi_1 guan_1
西北	 xi_1 bei_3
西北侧	 xi_1 bei_3 ce_4
西北角	 xi_1 bei_3 jiao_3
西北风	 xi_1 bei_3 feng_1
西区	 xi_1 qu_1
西单	 xi_1 dan_1
西单商场	 xi_1 dan_1 shang_1 chang_3
西南	 xi_1 nan_2
西南交大	 xi_1 nan_2 jiao_1 da_4
西南角	 xi_1 nan_2 jiao_3
西南财大	 xi_1 nan_2 cai_2 da_4
西南路	 xi_1 nan_2 lu_4
西厢	 xi_1 xiang_1
西去	 xi_1 qu_4
西双版纳	 xi_1 shuang_1 ban_3 na_4
西口	 xi_1 kou_3
西周	 xi_1 zhou_1
西四	 xi_1 si_4
西四环	 xi_1 si_4 huan_2
西园	 xi_1 yuan_2
西园路	 xi_1 yuan_2 lu_4
西固区	 xi_1 gu_4 qu_1
西坝	 xi_1 ba_4
西坝河	 xi_1 ba_4 he_2
西城	 xi_1 cheng_2
西城区	 xi_1 cheng_2 qu_1
西墙	 xi_1 qiang_2
西夏	 xi_1 xia_4
西外大街	 xi_1 wai_4 da_4 jie_1
西大街	 xi_1 da_4 jie_1
西子	 xi_1 zi_0
西宁	 xi_1 ning_2
西宁市	 xi_1 ning_2 shi_4
西安	 xi_1 an_1
西安交大	 xi_1 an_1 jiao_1 da_4
西安市	 xi_1 an_1 shi_4
西安机票	 xi_1 an_1 ji_1 piao_4
西安电子科技大学	 xi_1 an_1 dian_4 zi_0 ke_1 ji_4 da_4 xue_2
西安门	 xi_1 an_1 men_2
西客站	 xi_1 ke_4 zhan_4
西山	 xi_1 shan_1
西山区	 xi_1 shan_1 qu_1
西岗区	 xi_1 gang_3 qu_1
西岳	 xi_1 yue_4
西岸	 xi_1 an_4
西峡	 xi_1 xia_2
西工区	 xi_1 gong_1 qu_1
西市	 xi_1 shi_4
西康	 xi_1 kang_1
西式	 xi_1 shi_4
西拉	 xi_1 la_1
西方	 xi_1 fang_1
西施	 xi_1 shi_1
西昌	 xi_1 chang_1
西服	 xi_1 fu_2
西村	 xi_1 cun_1
西柏坡	 xi_1 bai_3 po_1
西校区	 xi_1 xiao_4 qu_1
西楼	 xi_1 lou_2
西欧	 xi_1 ou_1
西段	 xi_1 duan_4
西沙	 xi_1 sha_1
西沟	 xi_1 gou_1
西河	 xi_1 he_2
西洋	 xi_1 yang_2
西海	 xi_1 hai_3
西游	 xi_1 you_2
西游记	 xi_1 you_2 ji_4
西湖	 xi_1 hu_2
西湖区	 xi_1 hu_2 qu_1
西湖路	 xi_1 hu_2 lu_4
西溪	 xi_1 xi_1
西点	 xi_1 dian_3
西环路	 xi_1 huan_2 lu_4
西班牙	 xi_1 ban_1 ya_2
西田	 xi_1 tian_2
西盟佤族自治县	 xi_1 meng_2 wa_3 zu_2 zi_4 zhi_4 xian_4
西直门	 xi_1 zhi_2 men_2
西窗	 xi_1 chuang_1
西站	 xi_1 zhan_4
西红门	 xi_1 hong_2 men_2
西苑	 xi_1 yuan_4
西营	 xi_1 ying_2
西藏	 xi_1 zang_4
西街	 xi_1 jie_1
西谷	 xi_1 gu_3
西越河	 xi_1 yue_4 he_2
西路	 xi_1 lu_4
西达	 xi_1 da_2
西郊	 xi_1 jiao_1
西部	 xi_1 bu_4
西里	 xi_1 li_3
西长安街	 xi_1 chang_2 an_1 jie_1
西门	 xi_1 men_2
西院	 xi_1 yuan_4
西青道	 xi_1 qing_1 dao_4
西餐	 xi_1 can_1
西餐厅	 xi_1 can_1 ting_1
西马	 xi_1 ma_3
要	 yao_4
要到	 yao_4 dao_4
要是	 yao_4 shi_4
要求	 yao_1 qiu_2
要钱	 yao_4 qian_2
覆盖	 fu_4 gai_4
覽	 lan_3
见	 jian_4
见到	 jian_4 dao_4
观	 guan_1
观光	 guan_1 guang_1
观景	 guan_1 jing_3
观景台	 guan_1 jing_3 tai_2
观澜	 guan_1 lan_2
观照	 guan_1 zhao_4
观看	 guan_1 kan_4
观音	 guan_1 yin_1
观音寺	 guan_1 yin_1 si_4
规划	 gui_1 hua_4
规划局	 gui_1 hua_4 ju_2
规划设计	 gui_1 hua_4 she_4 ji_4
觅	 mi_4
视	 shi_4
视听	 shi_4 ting_1
视听音乐	 shi_4 ting_1 yin_1 yue_4
视图	 shi_4 tu_2
视点	 shi_4 dian_3
视窗	 shi_4 chuang_1
视觉	 shi_4 jue_2
视觉艺术	 shi_4 jue_2 yi_4 shu_4
视频	 shi_4 pin_2
觉得	 jue_2 de_0
觉悟	 jue_2 wu_4
觉醒	 jue_2 xing_3
角	 jiao_3
角楼	 jiao_3 lou_2
角门	 jiao_3 men_2
解	 jie_3
解决	 jie_3 jue_2
解放	 jie_3 fang_4
解放北路	 jie_3 fang_4 bei_3 lu_4
解放南路	 jie_3 fang_4 nan_2 lu_4
解放碑	 jie_3 fang_4 bei_1
解放街	 jie_3 fang_4 jie_1
解放路	 jie_3 fang_4 lu_4
解疑	 jie_3 yi_2
解答	 jie_3 da_2
解药	 jie_3 yao_4
解说	 jie_3 shuo_1
解释	 jie_3 shi_4
解释一下	 jie_3 shi_4 yi_1 xia_4
解除	 jie_3 chu_2
言	 yan_2
詞	 ci_2
詹	 zhan_1
誉	 yu_4
警	 jing_3
警务	 jing_3 wu_4
警务室	 jing_3 wu_4 shi_4
警备	 jing_3 bei_4
警官	 jing_3 guan_1
警察	 jing_3 cha_2
警察故事	 jing_3 cha_2 gu_4 shi_4
警报	 jing_3 bao_4
